name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Комбинезон Ольга 2601-07 черный 104-110,1,Бубльгум,12 400 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/ol-ga-2601-07-chernyi-108301228/?c=750000000,"[] серый:True,  черный:True,  синий:True, ","[]98-104:True, 110-116:False, 116-122:False, 128-134:False, 134-140:False, 140-146:False, 146-152:True, 152-158:True, 158-164:True, 92-98:True, 98-104:True, 104-110:True, 110-116:False, 116-122:False, 122-128:False, 128-134:False, 134-140:False, 140-146:False, 146-152:True, 152-158:True, 92-98:True, 104-110:True, 110-116:False, 116-122:False, 122-128:False, 128-134:False, 134-140:False, 140-146:True, 146-152:True, 152-158:True, 158-164:True, "
Комбинезон Ябольшой 243-1122 Babies 68,1,Бубльгум,8 310 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-243-1122-babies-104655415/?c=750000000,"[] мультиколор:True, ","[]68:True, 74:True, 80:True, "
Шорты Batik 0030_ЛС22 мультиколор 98,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-0030-ls22-mul-tikolor-108500084/?c=750000000,"[] мультиколор:True, ","[]98:False, 104:True, 110:True, 116:True, "
Комбинезон Ябольшой 263-1239-01 зеленый 68,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/jabol-shoi-263-1239-01-babies-104655413/?c=750000000,"[] серый:False,  зеленый:True, ","[]80:False, 86:False, 68:False, 74:True, "
Комбинезон Ябольшой 227-10.17-01 68,1,Бубльгум,9 730 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/jabol-shoi-227-10-17-01-104655411/?c=750000000,"[] розовый:True, ","[]68:True, 74:True, "
Футболка Batik 0078_ЛС22 синий 98,1,Бубльгум,3 130 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-0078-ls22-sinii-108492137/?c=750000000,"[] синий:True, ","[]98:True, 104:False, 110:False, 116:False, 122:False, 128:False, 134:False, 140:False, "
Комбинезон Бамбук mp060002y розовый 62,1,Бубльгум,6 850 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-mp060002y-babies-104655020/?c=750000000,"[] розовый:True,  бежевый:True,  голубой:True,  зеленый:False, ","[]56:False, 62:True, 62:True, 56:True, 62:True, 74:True, 74:False, "
Комбинезон Бамбук E060007-2 3 шт мультиколор 74,1,Бубльгум,14 040 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-e060007-2-babies-104655021/?c=750000000,"[] мультиколор:True, ","[]74:True, "
Комбинезон Бамбук MP060002Y74 Babies 74,1,Бубльгум,6 920 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-mp060002y74-babies-104655019/?c=750000000,"[] розовый:True,  бежевый:True, ","[]74:True, 56:True, "
Комбинезон Бамбук mp060002y бежевый 62,1,Бубльгум,6 920 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-mp060002y-babies-104655038/?c=750000000,"[] розовый:True,  бежевый:True,  голубой:True,  зеленый:False, ","[]56:False, 62:True, 62:True, 56:True, 62:True, 74:True, 74:False, "
Ползунки Бамбук MU055006KNR Babies 68,1,Бубльгум,5 340 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-mu055006knr-babies-105206807/?c=750000000,"[] мультиколор:True, ","[]68:True, "
Комбинезон Бамбук E060007-1 3 шт мультиколор 62,1,Бубльгум,14 040 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/bambuk-e060007-1-babies-104655022/?c=750000000,"[] мультиколор:True, ","[]62:True, "
Брюки Батик 02880_BAT бежевый 74,1,Бубльгум,1 640 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-02880-bat-babies-109038256/?c=750000000,"[] бежевый:True, ","[]68/6M:True, 74/9M:True, 80/12M:True, 86/18M:False, 92/24M:True, "
Трусы Baykar 3670 Children мультиколор 134-140,1,Бубльгум,4 402 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-3670-children-mul-tikolor-108216628/?c=750000000,"[] мультиколор:True, ","[]134-140:True, 146-152:False, 158-164:False, "
Футболка Batik 02830_BAT голубой 68,1,Бубльгум,2 180 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-02830-bat-goluboi-108500004/?c=750000000,"[] голубой:True, ","[]68:True, 74:True, 80:True, "
Трусы Baykar 3308 Children 128-134,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-3308-children-108584780/?c=750000000,"[] черный:True, ","[]128-134:False, 140-146:True, 152-158:True, "
"Бамбук Лоно M000001K пеленка текстильная, 1 шт, 90x120 см, хлопок, розовый",1,Бубльгум,3 340 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/bambuk-lono-m000001k-pelenka-tekstil-naja-1-sht-90x120-sm-hlopok-rozovyi-104723136/?c=750000000,[],[]
Колготки LB 318 Babies 80-86,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/lb-318-babies-108504531/?c=750000000,"[] розовый:True, ","[]80-86:False, 86-92:True, "
Толстовка Batik 02811_BAT бежевый 74,1,Бубльгум,3 420 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-02811-bat-bezhevyi-109099271/?c=750000000,"[] бежевый:True, ","[]74:True, 80:False, 86:True, 92:False, "
Колготки Para Socks K1 мультиколор 2 шт 98-104,1,Бубльгум,5 320 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/para-socks-k1-mul-tikolor-2-sht-106765558/?c=750000000,"[] мультиколор:True, ","[]98-104:True, 110-116:True, 122-128:False, 134-140:False, 140-146:True, 152-158:True, 158-164:False, "
